state,type,date,staff
Malaysia,all,2014-01-01,121530
Malaysia,all,2015-01-01,132082
Malaysia,all,2016-01-01,137743
Malaysia,all,2017-01-01,143596
Malaysia,all,2018-01-01,147674
Malaysia,all,2019-01-01,154177
Malaysia,all,2020-01-01,156639
Malaysia,all,2021-01-01,162634
Malaysia,all,2022-01-01,167690
Malaysia,dentist,2014-01-01,3763
Malaysia,dentist,2015-01-01,4021
Malaysia,dentist,2016-01-01,4591
Malaysia,dentist,2017-01-01,5736
Malaysia,dentist,2018-01-01,6455
Malaysia,dentist,2019-01-01,7087
Malaysia,dentist,2020-01-01,7443
Malaysia,dentist,2021-01-01,7785
Malaysia,dentist,2022-01-01,7828
Malaysia,doctor,2014-01-01,33275
Malaysia,doctor,2015-01-01,33545
Malaysia,doctor,2016-01-01,36403
Malaysia,doctor,2017-01-01,43348
Malaysia,doctor,2018-01-01,46509
Malaysia,doctor,2019-01-01,52129
Malaysia,doctor,2020-01-01,54338
Malaysia,doctor,2021-01-01,55918
Malaysia,doctor,2022-01-01,58193
Malaysia,nurse,2014-01-01,59364
Malaysia,nurse,2015-01-01,69590
Malaysia,nurse,2016-01-01,72025
Malaysia,nurse,2017-01-01,70888
Malaysia,nurse,2018-01-01,71499
Malaysia,nurse,2019-01-01,71778
Malaysia,nurse,2020-01-01,72826
Malaysia,nurse,2021-01-01,78426
Malaysia,nurse,2022-01-01,79397
Malaysia,nurse_community,2014-01-01,25128
Malaysia,nurse_community,2015-01-01,24926
Malaysia,nurse_community,2016-01-01,24724
Malaysia,nurse_community,2017-01-01,23624
Malaysia,nurse_community,2018-01-01,23211
Malaysia,nurse_community,2019-01-01,23183
Malaysia,nurse_community,2020-01-01,22032
Malaysia,nurse_community,2021-01-01,20505
Malaysia,nurse_community,2022-01-01,22272
Johor,all,2014-01-01,11114
Johor,all,2015-01-01,11721
Johor,all,2016-01-01,11987
Johor,all,2017-01-01,12506
Johor,all,2018-01-01,12764
Johor,all,2019-01-01,13553
Johor,all,2020-01-01,12294
Johor,all,2021-01-01,14586
Johor,all,2022-01-01,14634
Johor,dentist,2014-01-01,321
Johor,dentist,2015-01-01,331
Johor,dentist,2016-01-01,384
Johor,dentist,2017-01-01,546
Johor,dentist,2018-01-01,613
Johor,dentist,2019-01-01,656
Johor,dentist,2020-01-01,677
Johor,dentist,2021-01-01,701
Johor,dentist,2022-01-01,686
Johor,doctor,2014-01-01,2720
Johor,doctor,2015-01-01,2854
Johor,doctor,2016-01-01,2887
Johor,doctor,2017-01-01,3235
Johor,doctor,2018-01-01,3541
Johor,doctor,2019-01-01,4154
Johor,doctor,2020-01-01,4925
Johor,doctor,2021-01-01,4967
Johor,doctor,2022-01-01,5023
Johor,nurse,2014-01-01,5980
Johor,nurse,2015-01-01,6441
Johor,nurse,2016-01-01,6688
Johor,nurse,2017-01-01,6769
Johor,nurse,2018-01-01,6677
Johor,nurse,2019-01-01,6814
Johor,nurse,2020-01-01,4830
Johor,nurse,2021-01-01,7146
Johor,nurse,2022-01-01,7055
Johor,nurse_community,2014-01-01,2093
Johor,nurse_community,2015-01-01,2095
Johor,nurse_community,2016-01-01,2028
Johor,nurse_community,2017-01-01,1956
Johor,nurse_community,2018-01-01,1933
Johor,nurse_community,2019-01-01,1929
Johor,nurse_community,2020-01-01,1862
Johor,nurse_community,2021-01-01,1772
Johor,nurse_community,2022-01-01,1870
Kedah,all,2014-01-01,8018
Kedah,all,2015-01-01,8540
Kedah,all,2016-01-01,8762
Kedah,all,2017-01-01,8985
Kedah,all,2018-01-01,9229
